timestamp,tweet_text,all_hashtags,followers_count,sentaiment_score
5/6/20 23:14,"b'Now that we\xe2\x80\x99re all a little more proficient in mask wearing...  What super hero would you want to be, based solely on the mask they wear? Got another choice? Please explain below.   #Batman #SpiderMan #Robin #IronMan #Superheroes #CoronavirusUSA'","['Batman', 'SpiderMan', 'Robin', 'IronMan', 'Superheroes', 'CoronavirusUSA']",135,0.215277778
5/6/20 23:14,b'Meanwhile in NYC @NYGovCuomo has made it MANDATORY for nursing homes to accept hospital patients that have NOT been tested. #CoronavirusNewYork #CoronavirusUSA #COVID19 https://t.co/5GSk3GVcDs',"['CoronavirusNewYork', 'CoronavirusUSA', 'COVID19']",5940,0
5/6/20 23:14,"b'#USA #CoronavirusUSA @ScottGottliebMD  So I admitted patient with positive #COVID19 with pneumonia and deteriorating. We have to get ""permission"" from the #government to use Remdesivir and save their lives.    The process is pathetic!  We can save these lives!  @CDCDirector'","['USA', 'CoronavirusUSA', 'COVID19', 'government']",1361,-0.386363636
5/6/20 23:14,"b'@IndianaMike75 @chelley199999 #CoronavirusUSA Shelter In place over 65 &amp; health compromised. Use video Doctor visits, RX delivery &amp; anyone w symptoms stay home for 14 days. Gotta keep going. I had it, it sucked and now I am going to donate my plasma! China \xf0\x9f\x87\xa8\xf0\x9f\x87\xb3 sucks and needs to be punished.'",['CoronavirusUSA'],56,-0.3
5/6/20 23:13,b'This is the \xe2\x80\x9cmask\xe2\x80\x9d that #Starbucks is supplying their employees to wear. Is this a joke? #STARBUCKSATHOME #CoronavirusUSA https://t.co/XUS4AlvNfS',"['Starbucks', 'STARBUCKSATHOME', 'CoronavirusUSA']",1,0
5/6/20 23:13,"b""#CoronavirusUSA #GOPCorruptionOverCountry #GOPDeathPanels  #ProfitoverPeople They don't care about American lives! https://t.co/IvG72n0LYX""","['CoronavirusUSA', 'GOPCorruptionOverCountry', 'GOPDeathPanels', 'ProfitoverPeople']",338,0
5/6/20 23:13,"b'2,259,359 people are currently infected with the Coronavirus #COVID\xe3\x83\xbc19 #CoronaVirusChallenge #Coronavid19 #Coronavirus #COVID19 #Corona #coronvirusuk #cornoravirus #COVID2019 #CarnivalPanorama #CoronavirusUSA'","['COVIDー19', 'CoronaVirusChallenge', 'Coronavid19', 'Coronavirus', 'COVID19', 'Corona', 'coronvirusuk', 'cornoravirus', 'COVID2019', 'CarnivalPanorama', 'CoronavirusUSA']",21,0
5/6/20 23:12,"b'I think you are correct that unfortunately, Americans will fight contact tracing @DavidAgus @HowardStern @sternshow #COVID19 #CoronavirusUSA'","['COVID19', 'CoronavirusUSA']",6,-0.5
5/6/20 23:12,"b'LIKE! The #SandersYang ticket! I heard #Yang Speak @ First In The West, #Vegas with all #Dems candidates. I thought then ""#UBI, smart beautiful dream. Impossible in todays #USA""  That was PRE #CoronavirusUSA ERA. Possible now!  #Bernie2020  #YangGang help FIGHT BIDEN! https://t.co/hKz7ICMo2V'","['SandersYang', 'Yang', 'Vegas', 'Dems', 'UBI', 'USA', 'CoronavirusUSA', 'Bernie2020', 'YangGang']",548,0.12952381
5/6/20 23:12,"b'This is probably one of the wildest, most out-of-control person in this  #pandemic.\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f  #StayHome #CoronavirusUSA  #COVID19 https://t.co/FEj1TvnaBO'","['pandemic', 'StayHome', 'CoronavirusUSA', 'COVID19']",8141,0.5
